N1,극성,내용
26,2,백신 맞은 걸리는 전문가 들이 그랬다 전파 안 맞은 사람 못지않다 했으면 백신 맞는 이유 중증 가지 않은 위함 이라 했으면 말 맞은 퍼트 리 고 걸리는 맞은 중증 상 가지 않은 맞은 안 맞은 퍼트 리 게 아닌 백신 만능 인 백신 패스 어째 고 해서 갈라놓다 마라 맞은 사람 조심한 걸 잘 알 지 않은 안 맞은 사람 죄인 취급 하지 마시길 백신 맞은 내 자녀 안전한 거 아닌 만 덜 아픈 거
27,2,슈퍼주니어 신동 코로나 확 진자 격리 얀 센 맞은 신동 돌파 감염 이라 잖아 백신 맞은 걸리는 안 맞은 걸리는 하라 고 그냥 개인 자유 맞은 자고 요기 질 환자 부작용 여기저기 터지는데 맞은 용감한 안 나죠 안 맞은 사람 항체 없는 위험한 걸 알 고 개인 방역 신경 쓰는
28,2,백신 선택 의무 아닌 안 맞은 비난 하는 대가리 코로나 걸리는 맞는 싶은 맞는 사람 되는 주위 민폐 직장 압박 하는 분위기 수 없는 자발 맞은 사람 맞은 안 맞은 사람 그냥 그런 맞는 걸리는 민폐 안 되는 안 맞는 걸리는 민폐 어차피 같은 방역 수 칙 잘 지키는 걸리는 수도 있는 전염병 딴 식이 지 그게 착한 사람 안 걸리는 병 아닌 쓸모없는 사람 욕 하지 마는
29,2,백신 맞는 압박 넣지 백신 접종 개개인 선택 이어야 하는 코로나 무서운 아닌 자유 얻는 백신 맞은 하는 분위기 코로 사기 주변 코로나 죽는 있는 살펴봐라 순수 코로나 원인 죽는 이는 고작 명 질청 통계 대다수 기 질환 본래 감기 독감 연간 천 명 매년 사망 사실 코로나 감기 코로나 미스터리 책 강추 현 업 의사 쓰는 서울 의과대학 교수 추천 책
30,2,언론 몰이 백신 접종 유도 하지 마라 나도 때문 할 수 접종 했지만 접종 개인 선택
31,2,백신 안 맞은 건 자유 임 방역 수칙 잘 지키는 사람 접촉 별로 없는 충분한 여겨지면 안 맞은 됨 한지 만 접촉 하는 백신 미스 접종 이기주의 지
32,2,나라 백신 강요 하는 뭐라고 난리 안 맞은 안처 맞은 난리 맞은 죽는 의학 실 득 많은 맞는 게 좋은 말 만 병 통치 처방 말임 나도 얀 센 맞는 부스터 맞은 아내 보고 맞은 못 하는 백신 부작용 면역 반응 생각 힘든 몸 약한 편 인 아내 맞은 해도 말리 고 싶은 심정 백신 개인 선택 이지 강요 할 아닌 생각 하는 안 맞은 죽는 나가는 수준 아닌 개인 선택 스 스 조심한 기본 인 방역 지키는 게 중요한
33,2,코로나 백신 접종 해도 감염 되는 전파 시킨 게 똑같은 예방 안 된다는 중증 완화 효과 만 있는 본인 위함 남 사회 맞는 게 아닌 내년 코로나 종식 앞두고 접종 접종 거론 이제 의미 없는 코로나 변 감기 정도 치사 율 낮은 내년 코로나 종식 접종 미 접종 미 없는 왈가 왈부
34,2,부작용 있던 바이러스 절대 안 걸리는 마스크 벗음 다니는 수 있던 맞은 합헌 데 지금 상황 어떠한 맞은 바이러스 걸리는 않은 아닌 사람 마다 다른 부작용 있는 독감 예방접종 강요 안 하는 백신 만 강요 하는 이해한 안 가는 국가 면 이해한 하는 여기는 민주주의 국가 선택 할 권리 있는 거부 할 권리 그게 국가 직
35,2,백신 접종 개인 선택 맡기는 게 옳은 본인 인터넷 쓰는 글 지인 강요 강요 할 수 있는 못 하는 부작용 나면 죄책감 거 건강 목숨 달린 남 왈가 왈부 할 게 아닌 말임 접종 했으면 끝나는 거 아닌 마스크 잘 다니는
36,1,목숨 내놓은 맞는 목숨 하려는 맞은 백신 불신 가득한 있는
37,1,얘 생각 해서 맞은 되는 거 아닌 말 할 인간 얘 읍 돌아가는 가정 없는 집 있는
38,2,백신 맞은 안 맞은 개인 자유 입니다 기자 잘 못 되는 기사 내는지 웃기는 기자 로서 자격 없는 분 시 군 절대 강제 성 되는 안 되는
39,2,게 논란 거리 야차 접종 완료 했지만 미 접종 욕 안 하는 민주주의 국가 선택 하는 결과 본인 받은 되는 거 아닌 자꾸 국가 물 타기 하는
40,2,백신 접종 자유 아닌 맞은 싫은 안 맞는 그게 그리 큰일 기사 나오는 맞은 싫은 마 지 마세요
41,2,목숨 내놓은 사람 목숨 내놓은 건 기적 인 생각 백신 맞는 싶은 맞은 건 선택 안 맞은 사람 탓 하지 말 백신 안 맞은 사람 방역 수칙 잘 지키는 살
42,2,논란 되는 본인 맞은 싫은 안 맞는 참말 웃기는 본인 생각 안 맞은 수도 있는 국가 먹는
43,2,백신 강요 아닌 개인 자유 백신 맞은 코로나 확 진자 백신 접종 완료 절반 그냥 방역 만 잘 지키는 되는 욕 하면 안 되는 축 가부 마스크 쓰는 했으면 다행 지니 잘 해 욕 하는
44,2,본인 맞은 싫은 맞은 남도 맞은 법 있는 백신 아닌 게 되는 남탓 할인 간 드는 몸 책임지는 겁니다 백신 강요 하지 마세요
45,2,맞는 안 맞는 본인 자유 안 맞는 걸리는 본 치료받는 비 파생 비용 부담 시킨 하는
46,2,도대체 백신 목숨 걸리는 맞은 논리 나오는 개인 자유 입니다 맞은 해서 잔르크 희생 날 포기 남 맞는 아닌 안 맞은 비난 받을 일도 아닌 거 별 가십 거리 아닌 우수운 의견 갈라놓다 거 같은
47,2,백신 맞는 안 맞는 개인 선택 팬 한텐 백신 패스 강요 놓는 본인 안 맞은 게 문제 지 본인 안 맞은 거 백신 패스 하질 마는
48,2,신 동도 티샷 앞두고 확진된 되는 주사 안 맞은 비난 받을 아닌 봄 주사 안 맞은 목욕탕 못 오게 넘는 분 굳이 목숨 걸리는 주사 맞은 목숨 가셨다가 주사 안 맞은 돌리는 보내는 어이없는
49,2,백신 접종 개인 자유
50,2,목숨 내놓은 백신 맞든 안 내놓은 안 맞든 본인 자유 지 누가 목숨 내고 맞은 했으면 난 백 신 맞은 본인 의사 따르는 번 강요 하지
51,2,애가 아빠 마음 모르는 수도 걱정 되는 수도 잇 지난 차 맞는 몸 안 좋은 차 안 맞은 했지만 맞은 내 주위 백신 맞은 말까 걱정 하는 사람 절대 맞은 마라 얘기 안 했으면 강 빈 얘기 목숨 내놓은 맞는 거 선택
52,2,백신 맞든 안 맞든 자유
53,2,맞는 강제 였던 개인 선택 남겨놓고서 안 맞은 토끼 몰이 욕 하는 건 아닌 않은 남 맞은 본인 맞은 놓는 본인 이타 남 맞은 논리 펼치는 게 우스운 아닌
54,2,독감 예방접종 맞은 독감 걸리는 난기 질환 있는 고 위험한 군 이라 목숨 걸리는 정말 싫은 데 맞은 부작용 때문 죽 뻔한 임상실험 당하는 기분 백신 접종 선택 개인 자유 코로나 사망 백신 접종 부작용 사망 많은 피 할 수 있는 안 맞은 수 있던 난 정말 권하는 싶은 않은
55,2,개인 선택 생때 같은 아들 명 있는 아무렇게나 장담 못 하는 백신 맞은 싫은 거 단 거기 따르는 본인 주의 당연한
56,2,기사 나오는 백신 맞은 걸리는 데 맞은 안 맞은 거기 삿 자리 본인 자유 지 백신 맞는 죽는 기자 책임지는 거 책임지는 않은 배 놔라 감 놔라 난리
57,2,변종 돌파 감염 정말 지 긋지 긋 백신 맞는 나아지는 게 있는 나도 맞은 정말 강요 말
58,2,백신 쳐 맞든 안 맞든 개인 자유 코로나 쳐 걸리는 걸리는 싶은 걸리는 세상 갈수록 개차반 돼가 누 만
59,2,백신 맞는 안 맞는 개인 선택 이지 기사 있는
60,2,백신 맞든 말 그게 중요한 모르는 백신 맞은 안 걸리는 백신 맞는 밤 늦은 놀고 있는 위험한
61,2,차별 정책 차별 대우 정당한 위 해서 차별 근거 명확한 하는 백신 맞은 괜찮은 경우 안 되는 경우 명확한 정확한 가려낼 방법 없는 접종 강요 해서 안 되는 미 접종 죄악 시 며 차별 하는 분위기 조장 해서 안 된다 백신 접종 자체 대단한 게 맞은 미 접종 무지 미개하단 착각 위험한 미 접종 자도 세금 건 보료 내는 위험한 시설 출입 제한 위 미 감염 증명 비용 부담 정책 정도 합리 차별 볼 수 있는 외 차별 비난 위험한 발상
62,1,사람 착각 하는 게 있는 백신 맞는 게 코로 나를 안 걸리는 하려는 게 아닌 나중 중증 환자 안 되려고 맞는 거 독감 백신 맞은 독감 걸리는
63,2,백신 맞는 안 맞는 자유 맞은 돌파 감염 되는 목숨 걸리는 백신 맞은 내용 웃기는 차 맞은 트럭 표현 하는 싫은
64,2,백신 본인 맞는 남 맞는 게 아닌 백신 맞은 코로 걸리는 코로나 걸리는 도심 하는 오지 말 맞는 것임 백신 차별 하면 안 되는 백신 맞는 죽는 책임지는 안질 꺼면 강요 하지
65,2,접종 하든 말 개인 자유 목숨 걸리는 안 맞는 본인 책임지는 이지
66,2,백신 자율 입니다 그대 비난 할 아닌
67,2,백신 개인 선택 목숨 왔던 가는 하는 강제 할 수 없는
68,2,기사 자체 제목 잘 못 되는 미 접종 잘못 아닌
69,2,순간 백신 맞은 사람 맞은 않은 사람 싸움 돼 버리는 백신 맞은 하는 백 신임 맞은 않은 이유 생각 해보는 되겠 우리나라 갈라 치기 싸움 되는 그럴 마다 누가 이득 보는지는 잘 판단
70,2,백신 맞은 사람 이긴 백신 선택 이지 의무 아닌 않은 안 맞은 욕 먹는 하는 거 부작용 두려운 백신 맞은 코로나 안 걸리는 아닌 이해한 할 수 없는
71,2,완벽한 백신 만드는 데 걸리는 백신 기피 거 완벽한 않은 백신 기피 게 맞은 보는 비난 거리 아닌 말 참고 얀 센 맞는 부스터 샷 접종 예정 입니다
72,2,맞은 싫은 안 맞는 논란 개뿔
73,1,백신 안 맞은 수 있는 걸리는 여기저기 싸 돌아다니는 집 박혀 있는
74,2,백신 선택 입니다
75,2,아들 가족 생각 해서 맞은 죽는 남은 가족 얄라 고 백신 필수 아닌 드 개인 선택 강요 하지 마세요
76,2,백신 맞는 거 책임지는 운운한 건 지방 역 수칙 잘 지키는 되는 책임지는 운운한 떠미는 접종 하는 되는 가정 하는 심각한 부작용 생기는 사망 하는 되면 운 없는 할 거 잖아 백신 맞는 안 맞는 개인 자유 비난 할 아닌 의무 하면 되는 방역 의무 져 버리는 비난 하는 게 옳은 거
77,2,결혼식 엉망 된 거 이해한 백신 미스 접종 자유 다임 창정 운 없는 백신 맞은 코로나 걸리는 판국 걸 갖는 떠드는 있는
78,2,맞은 사람 맞은 사람 대로 안 맞은 사람 안 맞은 사람 대로 자유 아닌
79,0,백신 맞은 안 걸리는 돌대가리
80,0,은연중 백신 미접 종자 범죄자 같은 취급 백신 얘기 나오는 숨어 있는 하는 분위기 조성 아닌 않은
81,0,단독 카톡 프사 백신 접종 완료 자랑 질 하지 마 역겨운
82,2,백신 개인 자유 고 선택 갖는 조장 간질 하는 꼬락서니 유말 잘 못 되면 책임지는  막상 잘 못 되면 인과성 없는 누가 믿고 맞은
83,0,목숨 내놓은 맞는 무뇌 인증 하는 지가 활동 하는 제약 있는 불편한 맞은 동물실험 통과 못 거 맞는 게 비정상 인 사고 가진 거 자랑 할 걸 자랑 해
84,0,백신 미접 종자 접종 백신 잘 옮긴 연구 결과 있는 코로나 감염 돌파 감염 걸리는 중증 덜 가는 백신 맞는 거 잖아 백신 만능 아닌 맞은 코로나 안 걸리는 아닌 어차피 코로나 백신 맞는 마스크 잘 쓰는 다니는 재수 없는 걸리는 수 있는 코로나 확진된 자랑 같은 공간 있는 백신 맞은 중증 안 가는 안도 하면 되는 백신 미접 종자 전파 할 생각 하는 접종 미접 종자 코로나 걸리는 미접 종자 금방 낫 고 돌파 감염 된 접종 정작 죽 수도
85,0,정작 코로나 걸리는 건강 염려 뒷전 조 별로 안 아픈 넘어가는 거 전제 깔려 있던 하러 목숨 걸리는 백신 맞은 할까 차분히 생각 하면 이상한 백신 강요
86,0,난 목숨 걸리는 맞은 하는 게 웃기는
87,0,백신 맞은 감염 전염 안 되는 비난 할 걸 비난 해보는 하루 명 감염 돌파 감염 대부분 저따위 말 하는 족속 있던 한심한
88,2,단순히 백신 접종 안 했으면 비난 하는 게 아닌 백신 접종 개인 선택 생각 합니다 안 맞은 수도 있는 여러 가지 이유 못 맞은 수도 있는 공인 스스로 활동 제약 두는 마스크 쓰는 않은 촬영 축가 하지 마는 백신 접종 유무 본인 선택 했으면 행동 맞는 마스크 제대로 쓰는 되도록 여러 사람 접촉 주는 사람 배려 해보는
89,0,기사 정말 불편한 목숨 내놓은 차 맞은 맞은 유서 써 놔야 내 죽는 애 들은 해보는 걱정 아닌 주변 알레르기 잇는 분 안 맞은 사람 많은 강요 하지 책임지는 주지
90,0,무식한 목숨 걸리는 맞은 백신 공부 사람 안 맞은
91,0,백신 맞은 안 걸리는 전파 안 헐 맞은 걸리는 데 전파 하는 같은 안 맞은 사람 인한 전파 보상 개 소리 돌파 감염 인한 전파 보상 해 룰렛 같은 백신 맞는 안 죽는 병 생 기 행인 백신
92,0,꼭 백신 맞은 사람 발 맞는 부작용 겪다 정신 차렸음 좋은 지 들은 백신 목숨 걸리는 맞은 남 안 맞은 남 탓 그럴 거 면 맞은 말던가 남 백신 맞은 개 소리 하지 마시고
93,0,사람 목숨 게임 죽는 다시 부활 하는 아닌 중간 저장 놓는 아닌 단 소중한 목숨 괜찮은 미 접 종자 맞은 강요 하지 마세요 맞은 지금 무사히 통과 하신 부스터 샷 맞은 운 안 좋은 거기 운명 하는 겁니다 백신 안 맞은 미 접종 내 몸 생각 해서 조심 행동 사람 많은 안 돌아다니는
94,2,선택 하는 부 이냐 민주주의 외치면서 하는 짓은 공산당
95,2,백신 접종 자유 갈라놓다 기해 참지는 짜 악마
96,2,백신 맞은 감염 안 되는 거 아닌 안 맞은 감염 되는 거 아닌 건 현재 어마한 많은 사례 통해 증명 된 거 맞는 안 맞은 두고 갑론 박하는지 본인 선택 감염 된 사람 본인 특정한 잘못 감염 된 아닌 본인 잘못 아닌 본인 맡기는 될
97,0,미접 종이 논란 미 접종 범죄 미 접종 전파 하는 과학 연구 거 연관 성 증명 된 거
98,0,백신 음모론 믿고 있는 보지 그럴 가능한 때문 맞은 않는 부작용 없는 변 일어난 바이러스 구심 지울 수가 없는 사람 있는 병역 기 피자 보이는 사람 있던 하는 결론 난 바 없는 싸여야 합니다 최소한 문제 대하 공론 화가 되는 이론 여지 명쾌히 토론 끝나는 그게 없는 이유 전문가 모르는 게 많은 때문 그냥 모름 지금
99,0,백신 맞든 안 맞든 코로 걸리는 맞은 안 걸리는 거 아닌 안 맞은 걸리는 거 아닌
100,0,전 백신 부작용 젊은 남자 분 사지 마비 된 사연 방송 나오는 전 해도 건강한 지병 사회 활동 활발히 했으면 분 인 백신 맞는 뒤 오바이트 날 하체 마비 왔던 병원 백신 부작용 있던 백신 인 관계 없는 한단 없는 아들 하루아침 불구자 되는 있는 모습 본 부모님 피 눈물 흘리고 백신 목숨 걸리는 맞는 맞은 그랬다 차 불렀음 내 목숨 중요한 사람 목 숨도 중요한 자유의지 맡기는
101,2,백신 맞는 인 맞는 의지 집안 마다 가족 게 있는 본인 주의 마르크스 고 걸리는 목숨 바꾸는 백신 안 맞은 무 대지 마 라임 창정 삶 대해 가타 부탁 하는 가정부 백신 맞추는 게 가능한 가공 인 갈구지 마라
102,1,사람 안 만 남면 맞든지 말 사람 만나는 사람 맞은 하는
103,1,많은 사람 접 하는 직종 인 백신 의무 이자 필수 젓도 모르는 지리 선택 인 사항 주둥이 놀리는 데 일본 아베 명 받은 일본 산 원숭이 이냐
104,2,백신 맞든 안 맞든 자유 백신 맞은 사람 혜택 없는 같은 분명 목숨 걸리는 맞은 거 본인 좋 자고 맞은 없는 주위 가족 생각 해서 맞은
105,0,백신 안 맞은 게 논란 거리 지내가 안 맞은 난리
106,0,백신 안 맞은 게 범법 행위 케 언론 마녀사냥 하는 백신 맞는 죽는 사람 아닌 목숨 걸리는 맞은 하면 안 돼 신성모독
107,2,백신 맞는 사망자 명도 안 나오는 당연한 안심 맞은 경우 되는 입장 바꿔 생각 하면 선뜻 맞은 수 있는 백신 맞는 돌아가는 분 죽 수도 있던 생각 맞은 난 괜찮은 생각 맞은 느닷없이 세상 가는 살려고 맞은 죽는 몰고 간 백신 억울한 죽는 있는 백신 부정 하는 옹호 하는 비방 할 필요한 없는 맞든 안 맞든 할 입니다
108,1,개인 선택 틀린 말 아닌 맞은 사람 걱정 없는 서로 부작용 위험한 알 고 맞는 거 개인 선택 라며 안 맞는 사람 유별나게 기적 인 건 맞은 보는
109,1,백신 안 맞은 맞은 잘한 짓은 아닌
110,2,미 접종 자유 남 피해 주지 마라
111,2,백신 남 위 해서 아닌 맞는 거 안 맞는 게 기적 인 행위 할 수 없는
112,2,백신 본인 알아보는 하는 거
113,0,백신 차 완료 돌파 간염 보는 모르는 백신 미 있는
114,2,자유 지 그거 가지 고 나며 하면 안 되는 죽는 다쫑
115,0,강요 하지 마라 생기는 면 책임지는 거
116,2,맞든 말 자유 아닌 내 목숨 걸리는 맞는 거 지금 내 아는 사람 차 백신 맞는 열 나서 고생 방역 수 칙 만 잘 지키는 되는 거 게 논란
117,0,목숨 걸리는 맞는 게 백신 이냐 백신 아닌 독약
118,0,백신 맞은 코로나 안 걸리는 목숨 걸리는 맞은
119,2,개인 자유 안 맞은 욕 하는 코로나 걸리는 머리 있는 거 아닌
120,0,미국 의사 백신 대부분 안 맞는 일까 아무렇게나 의심스러운 제대로 공부 안 해보는 남 맞은 맞은 하는 생각 무작정 맞는 사람 직장 강요 해서 수 맞은 사람 대부분
121,0,목숨 걸리는 백신 맞은 강요 하는 사회 비정상 인 겁니다
122,0,백신 맞은 코로나 걸리는 상황 백신 접종 끼리 전파 가능한 소리 데 애초 미접 종자 기적 이라 며 내 리까 고 치료받는 비 책임지는 전가 운운한 모르는 백신 접종 코로나 감염 되는 자연재해 고 미 접종 감염 되면 사회 악입
123,0,개인 자유 지 강제 성 줘도 되는 거임 죽는 책임지는 아닌 말 많은 할 튼
124,0,목숨 내놓은 맞은 맞은 게 카미카제 전체주의 사고 인 가는 기도 죽 수 있던 걸 알 고 맞은 거 죽 각오 맞은 비난 하는 거 잖아
125,0,목숨 내놓은 정도 면 안 맞은 기껏 방송 못 나가는 죽는 쪽 택했다 방송 못 하는 굶어 죽는 밥 굶으면 나라 지원 해주는 접종 땐 사는 쪽 택 하는
126,2,편 가르치는 기하 사람 제일 싫은 상대방 의견 선택 존중 해주는
127,0,목숨 내놓은 백신 맞은 않는 맞는 자유 고 거부 하는 자유 맞은 안 맞은 뭐라 할 필요한 없는 중국 침묵 우한 폐렴 이란 말 못 하는 비겁한 그냥 중국 가는
128,2,대한민국 인민공화국 이냐 백신 맞는 안 맞는 본인 선택 이유 있는 개인 의사 상관없는 말 무조건 따르는 하는 백신 맞는 사망 사람 후유증 고생 하는 사람 대해 기 질환 몰아가는 방침 강제 접종 해보는 하는 갈수록
129,0,백신 목숨 내놓은 맞는 목숨 장난 인 교 백신 맞은 코로나 안 걸리는 아닌 돌파 안 되는 아닌 중증 안 되는 아닌 복불복 인건 똑같은 백신 안 맞은 사람 탓 하지
130,2,맞는 안 맞는 알아보는 할 문제 목숨 위태 워 보여 면 맞은 말 지 맞은 어째 맞은 누가 강제 거 마냥 어이없는 안 맞은 알아보는 사람 모이는 장소 가지 말
131,0,백신 맞는 죽는 누가 책임지는 강제 접종 웃기는
132,0,나도 안 맞은 앞 접종 계획 없는 백신 미접 종이 죄 지은 거 마냥 떠드는 대는
133,0,죽는 아무렇게나 책임지는 주지 않은 말 그대로 목숨 내놓은 맞는 거
134,2,백신 접종 개인 선택 안 맞은 하는 접종 했으면 문제 생기는 면 책임지는 거
135,0,얘 백신 안 맞은 맞는 죽는 누가 책임지는 재는 쌓인 돈 치료받는 제로 회복한 됨 백신 의무 아닌 선택 뭐라 마라 병 걸리는 치료받는 안전한 보이는
136,2,백신 접종 자유 입니다 맞은 안 맞은 감염 률 증도 비슷한 결과 효과 없는 글 내리는
137,0,전 뉴스 나오는 화이자 내부고발 소리 소문 잠잠해진 항체 생 성 실체 없는 백신 변 못 막는 백신 맞은 하는 친분 있는 의사 맞은 말라던데
138,0,백신 안 맞는 잘 하신 그저께 기사 왔던 임상실험 이라 고요
139,2,접종 유지 지금 쯤 이면 바쁜 백신 접종 반대 인 듯 바빠도 맞은 거 진작 맞은 핑계
140,0,백신 안 맞은 게 문제 인지 모르는 백신 맞은 어차피 코로나 걸리는 백신 맞은 돌파 감염 뉴스 떴겠
141,2,전체주의 스며든 난 차 맞은 만 미 접종 강요 할 생각 없는 그럴 권리 없는 누군가 백신 접종 강요 강제 하지
142,2,백신 개인 자유 맞는 나서 죽는 국가 책임지는 주
143,0,백신 맞은 걸리는
144,0,백신 안 맞은 피해 줄 수 있는 집 있는 건 말 안 된다 백신 맞은 피해 안 주는 아닌 백신 안 맞은 코로나 걸리는 위험한 스스로 조심한 거 면 모름 백신 맞은 사람 피 해주는 조심한 하는 무서우면 백신 맞은 거 접 종자 끼리 있는 코로나 안 걸리는 줄 아는 거임 위드 코로나 시행 감염 명 돌파 감염 명
145,2,백신 접종 개인 선택 안 맞은 사람 마스크 잘 쓰는 다니는 되는 거
146,2,민폐 하객 이었다는 맞는 백신 미접 종이 사람 그런 장소 조심한 게 맞은 안 맞은 논란 아닌 마녀사냥 안 되는
147,1,솔직히 백신 두려운 형식 상 백신 맞은 그것 공인 이면 말 사소한 게 생각 하면 영업 하는 사람 배려 하는 거
148,0,백신 차차 맞는 증명 부작용 사망 하는 무서운 맞은
149,2,접종 자유
150,2,간단한 맞는 안 맞는 개인 자유 인 건 맞은 대신 사람 모이는 절대 안 가는 자유 의무 인 맞는 거 책임지는 안 지면 자유 만 강조 하는 쓰레기 같은 사회 만드는 말
151,2,게 논란 인 건지 그냥 본인 결정 안 맞는 조심한 지낸 거 그냥 감염 된 게 안타까운 건강한 돌아오세요
152,0,누 군 맞는 싶은 맞는 맞는 사람 많은 안 맞은 남 피 해주는 맞는 거
153,0,나도 안 맞은 내 맘
154,2,백신 접종 개인 선택 감 놔라 배 놔라 하지 마라
155,0,백신 무조건 맞은 하는 얘 백신 성분 조사 해보는 백신 꼭 필요한 게 있는 상관없는 불필요한 게 있는 고 위층 백신 사장 안 맞은 안 맞은 생각 안 하는 동물 아닌 그런 지 금방 아는 거
156,0,백신 맞는 잘 못 되면 누가 책임지는 데
157,0,백신 맞은 돌파 감염 유행 백신 맞은 코로나 안 걸리는 아닌
158,0,난임 창정 판단 존중 나도 억지로 맞은 부작용 심한 항체 생기는 모르는 항체 생기는 안 걸리는 게 아닌
159,2,백신 본인 선택 목숨 개인
160,0,백신 믿음 만해 접종 하지 효과 임 상 논란 뻥튀기 된 게 알려진 화이자 직원 접종 안 하는 걸 접종 백신 면책 명단 보는 직원 접종 안 해도 되는 이제 알약 출시 되는 안전한 입증 된 노바 나오는 생각 해보는 올해 독감 폐 균 접종 마무리
161,0,차 맞은 미접 종자 선택 존 중하 며 차별 하는 반대 까 놓는 백신 맞은 재수 없는 중증 면 책임지는 거 중증 환자 인 과정 운운한 모름 있는 백신 맞은
162,0,동의 성 받고 인과성 인 정 회피 하는 목숨 걸리는 굳이 맞은 내 머리 론도 대체 이해한 안 된다 이상한
163,0,백신 안 맞은 욕 할 이유 전혀 없는 거 같은 확진된 되는 세금 치료받는 거 그거 개인 청구 하면 되는 백신 안 맞은 걸 욕 할 이유
