내용,결과,,긍정 댓글 수,부정 댓글 수,중립 댓글 수
대는 뒷전 예비군 민방위 애 얀 센이라도 맞았다던데 민방위 끝났으니,35.06의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
접종 의원 의사 면허 박탈 해보는 하는 거 아닌 주사 제대로 못 놓으면서 진료,34.31의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
식당 식사 떠드는 사람 보는 정말 짜증,34.12의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
나도 맞는 싶은,34.62의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
대는 대체 맞는 어린이 노약 제일 하다며 내 걸리는 애 옮기면 게 어린이 보호 하는 의미 있는 거 노쇼 노인 굳이 믿음 기회 주는 이유 머냐 가장이 걸리는 애 걸리는 데 애 키우는 연령 접종 기회 줘야지 나야 코로나 걸리는 상관없는 데 애 걸리는 답 없는,36.07의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
예비군 때문 맞은 않은 신청 꽤 됐던 기억 있는,34.0의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
후반 사전 예약 하지 않은 못 맞는 문자 연락 받는 게 아닌,34.12의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
감염 되면 생명 위험한 이후 많으니 할 수 없는,34.23의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
평지 위로 신청 하지 마세요 진짜 맞은 없는 어쩌려 고 무 개념 사세요,33.89의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
대는 계획 발표 없는,34.8의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
미국 사는 남자 입니다 좋은 화이자 백신 남아돌고 보건소 가면 맞은 수 있는 안 맞은 고령 층 면역 약한 사람 바이러스 취약 층 접종 끝난 국민 집단 면역 형성 하면 건강한 사람 코로나 걸리는 바이러스 들어온 지도 모른 체 치 가는 주변 집단 면역 되는 있는 옮길 사람 없는 본인 건강한 안 맞은 된다고 보죠 미국 접종 률 정체 되는 접종 률 증가 하지 않은 이유 평소 감기 잘 안 걸리는 건강한 사람 안 맞는 보는 주변 분 접종 시작 맞았답니다,38.89의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
나이 나누는 건 고령자 어린이 정도 충분하다고 보는 대가 제일 활발하게 움직이는 건 팩트 아닌 그냥 공평하게 선착순 하라 고 화이자 맞기도 싫으니까,34.7의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
대가 슬플 줄 마스크 꽁꽁 싸매고 손 습진 생기는 정도 씻어야지 나중 전쟁 나면 그땐 젤 먼저 세워주겠지 괜찮은 거 기다려줄게 남 맞은 대는 안 맞는 안 걸리는,35.97의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
대면 그냥 코로나 걸리는 백신 맞은 거 마찬가지 면역 생기는 코로나 걸리세요 고 위험한 군 백신 놓는 게 당연한 걸리는 감기 수준 인 사람 백신 먼저 맞은 하는,38.13의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
맞는 죽는 모른 척,34.15의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
미국 라모 차 맞는 죽는 살아남다 정상 인 반응 이니 겁 먹는 백신 차례 되면 맞는 바라는,34.02의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
대는 찬밥 신세,35.0의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
기준 백신 종류 배정 하는 학생 가리키는 교육자 백신 투약 되는 않은 학생 등교 시킬 수 있는 나라 우리나라 없는 듯 정말 개답 답,35.1의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
고령 층 사회 필수 인력 접종 하는 그리 문제 지 나오는 대는 소방 경찰 어린이집 교사 보건 의료인 대상 만 찾아봐도 나오는 징징대 지 마시죠,34.13의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
방 역할 땐 젊은 사람 아프다며 옮기면 안 된다며 접종 할 땐 찬밥 집 막걸리 만 먹는 사람 만 신났네,34.28의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
대접 종이 윌달 하는 하는 월초 하는 했으면 해보는 될 아닌 백신 수가 없는,33.93의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
사람 맞춰주기 싫은 그러겠소 지금 들어오는 양 정도 들어왔나 보제 대도 인구 꽤 있는 거 계획 저리 해도 예약 맞는 백신 물량 확보 되면 님들 생각 하는 거 빠른 그다음 나이 생각 빠른 맞은 대도 맞은 후 증상 살펴볼 거 아니요 복잡 스러운 게 있는 하신 되는 되면 백신 맞는 될 거 재촉 하는 되는 게 아닌 나도 하는 짓거리 보는 짜증 나고 화나고 보기 싫지만 겠소 방법 없는,39.51의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
대는 맞는 답답하네,34.12의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
노쇼 사람 놔 주는 맞은 제때 신청 해서 맞는 부작용 겪으면서 두려운 떨고 있는 분,34.94의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
대는 그냥 죽자 계획 없는,34.8의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
세 미 예약 맞은 수 있는,34.13의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
대는 걸리는 멀쩡해서 런가,34.59의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
사회생활 제일 활발한 대는 계획 없는 출퇴근 제일 위험한 큰 노출 되는 연령,34.6의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
기다릴게 얼 짜 피 무서운 맞은 싫긴,33.8의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
이럴 줄 대는 보나 마나 연말 생각 했으면,34.97의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
지인 아는 의사 선생님 연락 큰 애 맞았다는데 예약 의사 친구 있는 그냥 맞은 수 있는 알림 두고 연락 없는 못 맞는 있는 기사화 해주는 조사 해주시고요 병원 지인 풀 면 잔 백신 누가 맞습니까 술 방역 당국 분노합니다 잔 백신 관리 안 하는 거 같은,39.39의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
대는 사람 취급 안 주내,34.13의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
백신 차 맞은 변 때문 마스크 착용 다닙니다,34.97의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
초등학생 유치원 생 맞은 수 있나요 임산부,33.85의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
대는 놔줄,34.03의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
대는 올해 안 맞는 맞은,35.76의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
대는 맞은,33.6의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
고 외 수험생 만 명 안 된다고,33.7의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
대는 짜증 난다,35.0의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
세금 제일 내는 대는 찬밥,35.02의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
머 대는 없는 일반 사람 대체 처 낮은 대는 미 첫 갚네,34.3의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
나라 망치 네코 나를 정치 수단 쓰다니 사회생활 활발한 연령 해보는 거리 두기 연장 만,35.06의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
대라 죽어야겠다,34.03의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
대는 맞는 거,33.88의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
대는,34.63의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
대는 버렸냐,34.03의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
대는 징 아예 계획 없는 어이없는,34.83의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
대는,34.63의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
백신 없는 나라 한국,34.21의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
아니하다 못 화이자 잔 대에 줘야 하는 거 아니니,34.1의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
난 대인데 난 맞은 수 있는,33.81의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
대는 나라 중요한 않은 갑다,34.01의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
백신 이야기 이야기 하는 걸 번 못 봤네 민방위 끝났다고 그것 못 이제 대라고 순서도 없는,33.87의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
대는 돼지 입니다,34.03의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
공산당 한국 지 부장 대는 북조선 인민 맞은 가는 주려나,33.81의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
대는 늦어도 말 이면 맞은 수 있는 거 리 징징대는지,34.1의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
불만 인 건 아는 추해지지 말 젤 활동 경제 중심 인 맞은 인생 달린 수험생 중요하고 어머니 아버지 중요한 난 대고 가장 건강한 맞은 생각 하는 백신 맞은 전 국민 집단 면역 조성 마스크 생활 화해야 하는 건 상식,34.38의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
비 오는 날 먼지 나게,35.0의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
난 어차피 안 맞은 거 심장병 지병 있는 주사 맞은 죽는 인정 안 하는 코로나 수 없는 안 맞은,36.5의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
가장 현장 왕성 하는 활동 하는 실무 인력 인 먼저 맞혀야 하는 거 아닌 여기서도 기득권 인 먼저 맞겠다네 대부분 직 차지 책상 앉아 계실 모든 세대 용퇴론 집중 하는,34.11의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
정수기 코디 라서 학교 가는 노인 병원 가는 티백 신 점 놔주라,35.05의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
직장인 맞은 수 있는 지겨운 지겨운 진짜 백신 수급 계획 세운 거화 나네,34.54의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
아닌 정신 병자 임대 단 정말 답 없는 대는 찌꺼기 남은 거 맞은,34.05의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
대는 빠져도 군말 지지 해주잖아,35.02의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
대는 그냥 디져라,34.03의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
제자리 만 하는,33.75의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
하는 내년 안 되겠다 바이러스 변 이해한 가는 있는 얘 접종 계획 없엌,34.54의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
대는 한참 뒷전 밀렸네 대한민국 이제 대는 사람 아닌 그거,34.12의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
학원 강사 아예 없는,34.8의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
부모님 먼저 맞는 게 맞은,34.16의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
진짜,35.54의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
대는 죽는 나면 승인 나려나,34.86의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
주냐고,34.63의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
기대는 필수 인력 아닌,34.08의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
버려졌 민 당,34.03의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
난 맞는,34.62의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
대대 가는 맞는,33.73의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
대는 계획 없는 역시 대는 노예 구먼,34.86의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
대가 가장 활발히 활동 하는 데 부족함,34.15의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
싯팔 맞는 대체,34.12의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
접종 접종 인 데 델타 어째 고 나오는 거기 존 백 신들 미 없는 정보 던 데 델타 퍼지게 되면 되는 겨,34.24의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
대는 젊고 건강하니까 나중 짬 처리 말 못 말 못 하는,34.0의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
사회 필수 인력 나머지 대는 대한민국 필요한 없는 존재 이냐,34.83의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
장난 치 백신 재맛 시 벙,33.79의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
대대 죽으라는,34.03의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
민방위 끝나는 나라 안 찾아주는 건 좋은 백신 맞춰주라,33.78의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
사회 필수 인력,34.63의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
재 명 이는 맞은,33.6의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
대대 나라 먹는 살리는 데 중요한 인력 나이 맨 뒤 뺀다는 어의 읍 도대체 생각 행정 하는 건지 당 최 이해한 안 가는,34.2의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
대는 넨 코로나 안 걸리는 돈 워 리하 고 백신 안 놔 줌,35.01의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
안 맞은,34.06의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
국민 이냐 노인 의사 교직원 간호사 맞는 대는 맞냐고 대만 희생 하는 어린아이 노인 여성 약 자라 며 혜택 돌아가는 데 남성 강,34.1의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
대가 사회인 필수 이대 대학생 공시생 천지인 게 대인데,34.89의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
백신 접종 누락 기간 방치 코로나 허망 죽는,33.95의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
늦은 맞은 징징대 고 정치 이야기 꺼내 드냐 위급 상황 땐 어린이 여성 먼저 대피 당연한 거 똑같은 어린이 여자 먼저 대피 하는 오지 게 캐물 사람 거,34.41의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
얀 센 말 고 화이자 모던 달라,34.02의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
대대 학생 놔주지도 않은 대학교 대면 수업 한다며,35.08의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
혈기 왕성 대부터 백신 놔줘야지,33.79의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
가장 활동 량 많은 먼저 맞는 게 순서 아닌 내 잘못 알 고 있는,34.31의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
코로나 잡 의지 있긴,34.66의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
식이 면안 맞은,33.97의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
안 맞은,34.06의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
대는 계획 없는,34.06의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
백신 맞은 안 맞은 거임 진짜 게 효과 있는 모르는,35.75의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
백신 없는 못 맞은 지나야 할 듯,35.06의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
델타 왔던 맞은,34.41의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
맞은 요란 내년 맞은 테,33.91의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
고 도대체 벼슬 이냐 나라 없는,34.37의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
미국 사는 년생 입니다 좋은 화이자 백신 남아돌고 보건소 가면 맞은 수 있는 안 맞은 고령 층 면역 약한 사람 바이러스 취약 층 접종 끝난 국민 집단 면역 형성 하면 건강한 사람 코로나 걸리는 바이러스 들어온 지도 모른 체 치 가는 주변 집단 면역 되는 있는 옮길 사람 없는 본인 건강한 안 맞은 된다고 보죠 미국 접종 률 정체 되는 접종 률 증가 하지 않은 이유 건강한 사람 안 맞는 보는 주변 넘은 분 접종 시작 맞았답니다,38.97의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
나이 순 접종 하는 이유 백신 맞은 코로나 걸리는 중증 안 넘어가서 맞추는 거 임대 중증 넘어가는 비율 높아서,38.94의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
미국 거르 얀 센 화이자 노바 벡스 개 맞은 걱정 마세요,33.82의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
민방위 예비군 끝나는 퇴물 취급 혀 기분 뭣 같은,35.05의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
그냥 기본 자격 없는 거 접종 했으면 자체 이해한 안 가는,34.28의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
식당 가지 집 해먹,34.99의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
아동 청장년 층 노인 치명 률 높기 때문 겠죠 죽는 곤란하지만 아동 청소년 상대 가볍게 지나간다고 하는 반면 사망자 대부분 노인,34.07의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
저대 가장,34.63의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
예비군 민방위 얀 센 맞았잖아요 거기 상당히 들어가는 사람 많은 필수 인력 교사 돌봄 인력 상관 추가 되는 대도 들어갈 명시 대대 안 했지 포함 되는 사람 많은 동서 어린이집 교사 여자 댄데 맞은 함 군 입대 소집 시 미리 맞는 들어가면 포함 되는 고 맞는 빠진 이하 맞는 하면 상당히 커버 되는 거임 뉴스 잘 보는,35.37의 확률로 부정리뷰 입니다., 부정리뷰 입니다.,,,
늦덕 미 민방위 되면 끝나는 미,34.03의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
늦덕 아미 마흔 이면 민방위 끝나요 지금 주변 친구 지인 맞은 사람 없는,34.03의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
대는 대와 차등 접종 할 가능한 높습니다,34.2의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
늦덕 아미 이모 특정 종사 맞은 일반 회사 다니시는 대는 없는,34.01의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
늦덕 아미 뉴스 잘 보는 게 의미 있는 민방위 예비군 상당히 못 맞은,34.04의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
늦덕 미어 군 대안 가는 왔지 미필 데,35.0의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
검은 고양이 말 일반 시민 말 거 같은 필수 인력 어째 고 머릿수 세 보는 만 만 정도 안 될 대가 만인 되던데 빙산 일각 이지,34.06의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
늦덕 아미 사람 관 종이 알바 여기저기 복사 다니네 이해력 딸리는,34.35의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
대가 젤 먼저 세워 가스 사람,34.42의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
나도 그저께 차 맞는 아픈 밤새웠음 타이 롤 먹는 존 벌함,33.98의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
방학 접종 합니다,33.8의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
후반 네이버 나온 있는,34.16의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
후반 멀었네 델타 플러스 사람 해이해 지지 마는 젠 아주 마스크 안 쓰는 다니는 사람 보여 고,34.14의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
나는요,34.63의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
대가 죽어줘야 대들 일자리 생기겠죠,35.02의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
대지 만 아닌 보는 그냥 죽으라 하는 같은 진짜 미친 같,34.05의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
제일 싸 돌아다니는 맞혀야지,34.63의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
전 세계 치사 율 높은 고령자 순 맞는 먼 그로,33.96의 확률로 중립리뷰 입니다., 중립리뷰 입니다.,,,
대의 순서 주민 입니다,35.0의 확률로 긍정리뷰 입니다., 긍정리뷰 입니다.,,,
