before,after
올르,올라
올리,올라
옮기,옮는
옮는,옮는
옳다,옳은
옳지,옳은
완벽하게,완벽한
완벽하지,완벽한
완전,완전한
완전히,완전한
용감하구나,용감한
용기,용감한
운운하고,운운한
운운하는,운운한
운운하는지,운운한
위험,위험한
위험성,위험한
위험하니,위험한
위험하다는,위험한
위험하지,위험한
위험한지,위험한
위험할,위험한
위험합니다,위험한
위험해,위험한
의심,의심스러운
의심스럽고,의심스러운
이상하네,이상한
이상합니다,이상한
이상해요,이상한
이상해지니까,이상한
이해,이해한
이해해,이해한
인과,인과성
인과관계,인과성
인과성,인과성
일어나,일어난
일으키,일어난
잃는,잃는
잃은,잃는
임상시험,임상실험
임상실험,임상실험
있건만,있는
있겠니,있는
있겠습니까,있는
있겠죠,있는
있겠지만,있는
있구나,있는
있군,있는
있는데니거는,있는
있슴,있는
있습니다,있는
있으렵니다,있는
있으세,있는
있으시길,있는
자유로,자유로운
자유롭,자유로운
잠잠해졌네,잠잠해진
잠잠해지지,잠잠해진
적은데,적은
적이였다네요,적은
전화하니,전화
전화해서,전화
젊어서,젊은
젊은,젊은
정당하기,정당한
정당했다고,정당한
정확하게,정확한
정확한,정확한
조심하고,조심한
조심하는,조심한
조심하려고,조심한
조심하면서,조심한
조심해,조심한
조심해야,조심한
조심했음에도,조심한
조용했던,조용한
조용히,조용한
좋것,좋은
좋겟네요,좋은
좋겠네요,좋은
좋겠다,좋은
좋겠습니다,좋은
좋겠지만,좋은
좋든,좋은
좋습니다,좋은
좋아지,좋은
좋아하,좋은
좋앗다고,좋은
좋으시더라고요,좋은
죽거나,죽은
죽겠구나,죽은
죽겠지,죽은
죽기라도,죽은
죽는다고,죽은
죽던지,죽은
죽어가,죽은
죽오,죽은
죽으라면,죽은
죽이,죽은
죽잖,죽은
중요하고요,중요한
중요하나,중요한
중요하다,중요한
중요하면,중요한
중요하지,중요한
중요한데,중요한
중요한지,중요한
중요할,중요한
지나,지나간
지나가,지나간
지나서,지나간
책임감,책임지는 
책임져주,책임지는 
책임지,책임지는 
책임지겠다고,책임지는 
충분하다,충분한
충분한,충분한
충분히,충분한
치료,치료받는
치료받는,치료받는
치료받던,치료받는
필요하고,필요한
필요하다고,필요한
필요하죠,필요한
필요한가요,필요한
필요할,필요한
필요할까,필요한
필요함,필요한
필요합니까,필요한
하겠는데,하는
하겠다,하는
하겠다는,하는
하겠습니다,하는
하겠지,하는
하겠지만,하는
한심하긴,한심한
한심하다,한심한
혼줄,혼쭐
혼쭐,혼쭐
확실하다는,확실한
확실히,확실한
확진,확진된
확진됫었다,확진된
회복하면,회복한
회복할,회복한
가겠지,가는
가고,가는
가기,가는
가길,가는
가까이,가까운
가까지,가까운
가냐고,가는
가네,가는
가느냐,가는
가는데,가는
가능할,가능한
가니,가는
가니까,가는
가다,가는
가도,가는
가라,가는
가르고,가르는
가르기,가르는
가서,가는
가신,가는
가요,가는
가자,가는
가지고는,가진
간다,가는
갑니다,가는
갔나요,가는
갔다,가는
갔음,가는
갖고,갖는
갖고도,갖는
같게,같은
같고,같은
같긴,같은
같네,같은
같네요,같은
같다면,같은
같습니다,같은
같아,같은
같아도,같은
같아서,같은
같아요,같은
같은데,같은
같음,같은
건강하시길,건강한
건강하시다,건강한
건강해,건강한
걸고,걸리는
걸까,걸리는
걸려,걸리는
걸려도,걸리는
걸려서,걸리는
걸려야,걸리는
걸렸겠지,걸리는
걸렸다는,걸리는
걸렸었는데,걸리는
걸렸으면,걸리는
걸렸을,걸리는
걸렸지,걸리는
걸리게,걸리는
걸리고,걸리는
걸리나,걸리는
걸리냐,걸리는
걸리는데,걸리는
걸리니,걸리는
걸리니깐,걸리는
걸리다던데,걸리는
걸리던,걸리는
걸리듯,걸리는
걸리려고,걸리는
걸리면,걸리는
걸리시면,걸리는
걸리지,걸리는
걸리지도,걸리는
걸린,걸리는
걸린다,걸리는
걸린다고,걸리는
걸린다는,걸리는
걸린다니,걸리는
걸린데요,걸리는
걸릴,걸리는
괜찮다,괜찮은
괜찮으시면,괜찮은
권하고,권하는
권해서,권하는
그러게,그러는
그러기,그러는
그러냐,그러는
그러네요,그러는
그러니깐,그러는
그러지만,그러는
그만하고,그만하는
그만합시다,그만하는
그만해,그만하는
그만해라,그만하는
기다려,기다리는
기다려야,기다리는
기다리고,기다리는
기다릴,기다리는
기다릴래,기다리는
까는가,까는
까라는,까는
까요,까는
끝나고,끝나는
끝나던가,끝나는
끝나면,끝나는
끝나서,끝나는
끝나야,끝나는
끝난,끝나는
끝날,끝나는
끝났거든요,끝나는
끝났지만,끝나는
끝내려면,끝나는
끝내자,끝나는
끼거나,끼는
끼치면,끼치는
끼친다,끼치는
끼칠,끼치는
나가,나가는
나가고,나가는
나가기,나가는
나가느니,나가는
나가면,나가는
나가야,나가는
나간,나가는
나아가,나아가는
나아도,낫는
나아졌으면,나아지는
나아진,나아지는
나아질,나아지는
나아집니다,나아지는
나오고,나오는
나오기를,나오는
나오네,나오는
나오는데,나오는
나오면,나오는
나온,나오는
나온다고,나오는
나온다면,나오는
나올,나오는
나올까,나오는
나와서,나오는
나와야,나오는
나와요,나오는
나왔는데,나오는
나왔다,나오는
나왔던,나오는
나왔습니다,나오는
나왔으면,나오는
나왔지만,나오는
나을지,나은
나음,나은
낫겠다,낫는
낫는데,낫는
낫다,낫는
낮더라,낮은
낮아지는,낮은
낮아짐,낮은
낮음,낮은
낮추기,낮추는
낮출,낮추는
낮춰,낮추는
낮춰주는,낮추는
내놓고,내놓은
내놓으라는,내놓은
내놓으셨나요,내놓은
내놓을,내놓은
내놓지,내놓은
내놨다고,내놓은
내려온,내리는
내려왔다고도,내리는
내렸다,내리는
내리기만,내리는
내리세요,내리는
낸다,내는
냅시다,내는
넘게,넘기는
넘고,넘기는
넘기니까,넘기는
넘는,넘는
넘는데도,넘는
넘어가고,넘어가는
넘어가도,넘어가는
넘어가자는,넘어가는
넘어갈,넘어가는
넘어갈지,넘어가는
넘어갔다가,넘어가는
넘었다는,넘는
넘었음,넘는
넘으신,넘는
높고,높은
높다고,높은
높아,높은
높아져,높은
높아지겠죠,높은
높여주고,높은
높은데,높은
높을,높은
높음,높은
높이려는,높은
높지,높은
놓고,놓는
놓곤,놓는
놓으면,놓는
느껴지곤,느끼는
느껴지며,느끼는
느껴지지,느끼는
느꼈습니다,느끼는
느끼면,느끼는
느끼면서,느끼는
늘렸는데,늘리는
늘릴,늘리는
늘어나는,늘어난
늘었다,늘어난
늦추면,늦추는
다녀도,다니는
다녔네요,다니는
다니고,다니는
다니나,다니는
다니는지,다니는
다니니,다니는
다니다가,다니는
다니더구먼,다니는
다니려,다니는
다니면,다니는
다니면서,다니는
다니세,다니는
다니시길,다니는
다닌,다니는
다닌다,다니는
다닐,다니는
다르게,다른
다르기,다른
다르냐,다른
다르십니다,다른
다르지,다른
다르지만,다른
다를,다른
달라지는,달라진
당하,당하는
당하게,당하는
당하는,당하는
당한,당하는
대니까,대는
돌려,돌리는
돌려서,돌리는
돌릴려,돌리는
돌아가기에,돌아가는
돌아가네,돌아가는
돌아가셨는데,돌아가는
돌아가셨습니다,돌아가는
돌아가신,돌아가는
돌아갔으면,돌아가는
돌아다녀요,돌아다니는
돌아다니는,돌아다니는
돌아다니면,돌아다니는
돌아다니세요,돌아다니는
돌아다니지,돌아다니는
돌아다닌,돌아다니는
돌아다닐,돌아다니는
돼도,되는
돼서,되는
돼야,되는
돼요,되는
됐냐,되는
됐네요,되는
됐니,되는
됐다,되는
됐다고,되는
됐어도,되는
됐었다는,되는
됐으니까,되는
됐으면,되는
됐을,되는
되거나,되는
되겠,되는
되겠나만,되는
되겠지,되는
되고,되는
되고도,되는
되기,되는
되나,되는
되나요,되는
되냐,되는
되네,되는
되네요,되는
되는,되는
되는데,되는
되는지,되는
되는지요,되는
되니,되는
되니까,되는
되니깐,되는
되더구먼,되는
되더라도,되는
되어,되는
되어가고,되는
되어도,되는
되어서,되는
되어서도,되는
되어선,되는
되어야,되는
되었는데,되는
되었다,되는
되었다고,되는
되었든,되는
되었습니다,되는
되었어,되는
되었으면,되는
되잖,되는
되잖아,되는
되죠,되는
되지,되는
되지도,되는
되지만,되는
되는다는지,되는
되는다면,되는
될까,되는
될는지,되는
될지,되는
됩니다,되는
됩시딘,되는
두려움,두려운
두려워,두려운
두려워서,두려운
두렵다,두려운
두렵습니까,두려운
두렵지,두려운
두면,두는
둬야죠,두는
뒈지면,죽는
뒈질,죽는
뒤지더라도,죽는
뒤지려고,죽는
뒤지면,죽는
뒤질,죽는
드는데,드는
드려,드리는
드려야,드리는
드립니다,드리는
듣고,듣는
듣는,듣는
듣지,듣는
들고,드는
들면서,드는
들어,드는
들어가게,들어가는
들어갔고요,들어가는
들어갔다며,들어가는
들어오고,들어오는
들었습니다,들은
들여서,들이는
들여오냐,들이는
들으니,들은
들을수록,들은
따라야,따르는
따르리니,따르는
따르면,따르는
따른,따르는
따름,따르는
따지며,따지는
따질,따지는
때려,때리는
때리고,때리는
떠나면,떠나는
떠나서,떠나는
떠나신,떠나는
떠들고,떠드는
떠들어,떠드는
떠밀어서,떠미는
떨어져,떨어진
떨어지는,떨어진
떨어진다는,떨어진
똑같네,똑같은
똑같다,똑같은
똑같아,똑같은
똑같어,똑같은
똑같은,똑같은
똑같은데,똑같은
똑같음,똑같은
마신,마시는
마실,마시는
마쳤고,마친
마쳤는데,마친
막거나,막는
막고,막는
막기,막는
막아,막는
막아서,막는
막아주는,막는
막으려고,막는
막지,막는
만나고,만나는
만나도,만나는
만든,만드는
만들고,만드는
만들까,만드는
만들어,만드는
만들어야,만드는
만들어야지,만드는
만들어지는데,만들어지는
만들었네요,만들어지는
만들지,만드는
만들지는,만드는
많고,많은
많기,많은
많냐,많은
많네,많은
많노,많은
많다,많은
많다는,많은
많던,많은
많아,많은
많아서,많은
많아요,많은
많아졌으니깐,많은
많았는지,많은
많았습니다,많은
많으면,많은
많은데,많은
많은데도,많은
많은지,많은
많을,많은
많음,많은
말아라,마는
말아야,마는
말아야겠습니다,마는
말았어야,마는
말았어야지,마는
말았으면,마는
맞게,맞는
맞겠다면,맞는
맞고,맞는
맞고는,맞는
맞고도,맞는
맞고의,맞는
맞기로,맞는
맞기를,맞는
맞기인데,맞는
맞긴,맞는
맞길,맞는
맞나,맞는
맞나요,맞는
맞냐,맞는
맞냐는,맞는
맞는다,맞는
맞는답니다,맞는
맞는데,맞는
맞는지,맞는
맞니,맞는
맞다,맞은
맞다가,맞은
맞던,맞은
맞도록,맞은
맞아,맞은
맞아가는,맞은
맞아도,맞은
맞아라,맞은
맞아라고,맞은
맞아서,맞은
맞아야,맞은
맞아야겠네,맞은
맞아야겠지만,맞은
맞아야죠,맞은
맞아야지,맞은
맞아요,맞은
맞았거든,맞은
맞았겠습니까,맞은
맞았겠지,맞은
맞았고,맞은
맞았기,맞은
맞았나,맞은
맞았냐,맞은
맞았냐고,맞은
맞았는걸,맞은
맞았는데,맞은
맞았다,맞은
맞았다가,맞은
맞았다고,맞은
맞았다는,맞은
맞았다니,맞은
맞았다만,맞은
맞았다면서,맞은
맞았다에,맞은
맞았대,맞은
맞았습니다,맞은
맞았어,맞은
맞았어도,맞은
맞았어야지,맞은
맞았어요,맞은
맞았었더라면,맞은
맞았으니,맞은
맞았으니까,맞은
맞았으면,맞은
맞았으면서,맞은
맞았을,맞은
맞았음,맞은
맞았잖아,맞은
맞았지,맞은
맞았지만,맞은
맞았지요,맞은
맞으나,맞은
맞으니,맞은
맞으니까,맞은
맞으라,맞은
맞으라고,맞은
맞으라는,맞은
맞으란,맞은
맞으러,맞은
맞으려,맞은
맞으려고,맞은
맞으려고요,맞은
맞으려니,맞은
맞으면,맞은
맞으면서,맞은
맞으세요,맞은
맞으셔도,맞은
맞으셨는데,맞은
맞으셨다가,맞은
맞으셨어요,맞은
맞으셨으면,맞은
맞으시고,맞은
맞으시는,맞은
맞으신,맞은
맞은,맞은
맞을,맞은
맞을까,맞은
맞을란다,맞은
맞을래요,맞은
맞을지,맞은
맞음,맞은
맞읍시다,맞은
맞자,맞은
맞자라고,맞은
맞지,맞은
맞지도,맞은
맞지만,맞은
맞추게,맞추는
맞추고,맞추는
맞추기,맞추는
맞춘다는,맞추는
맞출,맞추는
맞춰,맞추는
맡겨,맡기는
맡겨라,맡기는
맡기길,맡기는
맡기는,맡기는
맡기면,맡기는
먹게,먹는
먹고,먹는
먹기,먹는
먹는데,먹는
먹다,먹는
먹습니다,먹는
먹어야,먹는
먹었는데,먹는
먹었을,먹는
먹여,먹는
먹잖아,먹는
먹지,먹는
모르고,모르는
모르나,모르는
모르네,모르는
모르는데,모르는
모르니까,모르는
모르면서,모르면
모르지,모르는
모르지만,모르는
모를,모르는
모름,모름
몰라,모름
몰라나도,모름
몰라도,모름
몰라라,모름
몰랐냐,모름
몰아가면서,몰아가는
무서울,무서운
무서워서,무서운
무서워지네요,무서운
무섭나,무서운
무섭네요,무서운
무섭다고,무서운
미뤄,미루는
미뤘어요,미루는
믿는다,믿는
믿습니다,믿는
믿어,믿음
믿어야,믿음
믿으라고,믿음
믿을,믿음
바라요,바라는
바란다는,바라는
바랍니다,바라는
바빠서,바쁜
바쁘니,바쁜
받다,받는
받아들이면,받은
받아서,받은
받아야,받은
받았습니다,받은
받았어요,받은
받았었고,받은
받으면,받은
받으시고,받은
받읍시다,받은
버려야지,버리는
버렸네요,버리는
버렸다,버리는
버렸을,버리는
버린,버리는
버텨야,버티는
버티다가,버티는
버틸란다,버티는
보니,보는
보니가,보는
보러,보는
보려고,보는
보면,보는
보면서,보는
보세요,보는
보셔요,보는
보여,보이는
보여주기,보이는
보여주는,보이는
보였지만,보이는
본다,보는
본다고,보는
본다는,보는
볼게요,보는
볼랍니다,보는
봅니다,보는
봅시다,보는
봐도,보는
봐야,보는
봐야죠,보는
봐야지,보는
봤냐,보는
봤습니다,보는
봤음,보는
봤자,보는
봤지,보는
부럽,부러운
부럽다,부러운
부족합니다,부족한
부족해서,부족한
부탁드릴게,부탁
부탁드립니다,부탁
불안하긴,불안한
불안함,불안한
불편함,불편한
불편함에,불편한
빠르,빠른
빠르게,빠른
빠르고,빠른
빠졌어요,빠진
빠지고,빠진
빼고는,빼고
빼곤,빼고
뻔하구먼,뻔한
뻔했다,뻔한
살아가는,살아간
살아가려면,살아간
살아나는,살아난
살아날까,살아난
살아남은,살아난
살아났는데,살아난
살아났다,살아난
살아도,살아있는
살아라,살아있는
살아서,살아있는
살아야겠죠,살아있는
살아야죠,살아있는
살아야지,살아있는
살았을,살아있는
생겨,생기는
생겨도,생기는
생겨서,생기는
생겼네,생기는
생겼음,생기는
생기기,생기는
생기는,생기는
생기는데,생기는
생기려면,생기는
생긴,생기는
생길,생기는
생길까,생기는
생길지,생기는
생길지도,생기는
생깁니다,생기는
시달리,시달리는
시달리는,시달리는
시달리다,시달리는
시달리면,시달리는
시달릴지,시달리는
시켜,시킨
시켜서,시킨
시켜야,시킨
시켰고,시킨
시켰다간,시킨
시켰다면,시킨
시켰으면,시킨
시키게,시킨
시키기,시킨
시키냐,시킨
시키는,시킨
시키면,시킨
시키지,시킨
시키진,시킨
시킨,시킨
시킨다고,시킨
심하게,심한
심하고,심한
심하면,심한
심하시군,심한
심하지,심한
심한,심한
심한데,심한
심합니다,심한
심해,심한
심해서,심한
심해졌다,심한
심해지지도,심한
싶고,싶은
싶기도,싶은
싶네요,싶은
싶니가,싶은
싶다,싶은
싶다고,싶은
싶더라,싶은
싶어,싶은
싶어도,싶은
싶어서,싶은
싶어요,싶은
싶었거든요,싶은
싶었지만,싶지만
싶으면,싶은
싶은,싶은
싶은데,싶지만
싶음,싶은
싶지,싶은
싶지도,싶은
쌓아놓은,쌓인
쌓아줘서,쌓인
써도,쓰는
써야,쓰는
써야지,쓰는
썼는지나,쓰는
쓰고,쓰는
쓰러져,쓰러진
쓰러진,쓰러진
쓰자,쓰는
쓰지,쓰는
쓴다고요,쓰는
아냐,아는
아냐가,아는
아는,아는
아는데,아는
아니가,아닌
아니고,아닌
아니고요,아닌
아니냐,아닌
아니냐니까,아닌
아니네요,아닌
아니니까,아닌
아니다,아닌
아니듯,아닌
아니라,아닌
아니라고,아닌
아니라는,아닌
아니란,아닌
아니면서,아닌
아니야,아닌
아니었,아닌
아니었나,아닌
아니었네요,아닌
아니에요,아닌
아니자,아닌
아니잖아,아닌
아니잖아요,아닌
아니죠,아닌
아니지,아닌
아니지만,아닌
아니지요,아닌
아닌,아닌
아닌가,아닌
아닌가요,아닌
아닌데,아닌
아닌지,아닌
아닐까,아닌
아닐지,아닌
아닐지라도,아닌
아님,아닌
아닙니다,아닌
아무렇게나,아무런
아파서,아픈
아파하면,아픈
아팠으면,아픈
아팠지만,아픈
아프게,아픈
아프고,아픈
아프기만,아픈
아프네,아픈
아프다고,아픈
아프던,아픈
아프려고,아픈
아프면,아픈
아프세요,아픈
아플,아픈
아픔,아픈
안되고,안된
안된다,안된
안전하다니,안전한
안전하지,안전한
안전해야,안전한
안타까운,안타까운
안타까울,안타까운
안타깝게,안타까운
안타깝네요,안타까운
앉아서,앉은
앉았냐,앉은
않게,않은
않겠다고,않은
않겠습니다,않은
않고,않은
않기,않은
않나,않은
않나요,않은
않냐,않은
않네요,않은
않는,않은
않는다,않은
않는데,않은
않다,않은
않다면,않은
않아,않은
않아도,않은
않아서,않은
않아서요,않은
않아야,않은
않아요,않은
않았고,않은
않았냐,않은
않았는데,않은
않았는데도,않은
않았다고,않은
않았다던데,않은
않았으면,않은
않았을,않은
않았을까,않은
않으니,않은
않으면,않은
않으면서,않은
않은,않은
않을,않은
않을까,않은
않을까요,않은
않음,않은
않잖아,않은
않죠,않은
알겠냐,아는
알고도,아는
알려졌고,알려진
알려졌는데,알려진
알려주는,알려진
알려주라고,알려진
알려줘,알려진
알아보고,알아보는
알아보지,알아보는
알아서,알아보는
알아야,알아보는
알아요,알아보는
알았고,알아보는
알았는데,알아보는
알았으면,알아보는
애매하구먼,애매한
약하고,약한
약한,약한
약해질,약한
어딨나,어디있는
어딨냐,어디있는
어딨어,어디있는
어떡하죠,어떠한
어떻,어떠한
어떻냐,어떠한
어려움,어려운
어렵,어려운
어렵게,어려운
어렵습니다,어려운
어렵지,어려운
어린데도,어린
어릴수록,어린
어이없음,어이없는
어째,어쨋든
어쨌거,어쨋든
어쨌든,어쨋든
얻는,얻는
얻어도,얻는
얻어먹어야,얻는
얻어야,얻는
없게,없는
없겠지만,없는
없고,없는
없기,없는
없기에,없는
없나,없는
없네,없는
없네요,없는
없는데,없는
없는지,없는
없다,없는
없다고,없는
없다는,없는
없다는데,없는
없다면,없는
없던,없는
없던데,없는
없어,없는
없어도,없는
없어서,없는
없어야,없는
없어요,없는
없어지는데,없는
없어질,없는
없었,없는
없었겠냐,없는
없었고,없는
없었는데,없는
없었던,없는
없었어요,없는
없었음,없는
없으니,없는
없으면,없는
없으면서,없는
없으시면,없는
없을,없는
없음,없는
없잖아,없는
없잖아요,없는
없죠,없는
없지,없는
없지만,없는
역겨워,역겨운
역겹다,역겨운
였겠지만,였던
였나,였던
였는데,였던
였으니,였던
였으면,였던
예방접종,예방접종
예방주사,예방접종
오늘,오늘
오늘이,오늘
옮기다는,옮긴
옮기지나,옮긴
옮긴다면,옮긴
옮길까,옮긴
옮는,옮긴
왓쟎,왔던
왔네요,왔던
왔는데,왔던
왔다,왔던
왔단다,왔던
왔어요,왔던
왔으면,왔던
우수,우수운
우습게,우수운
운운하며,운운한
운운한,운운한
웃겨,웃기는
웃기,웃기는
웃기는,웃기는
웃긴,웃기는
웃김나도,웃기는
원하는,원하는
원합니다,원하는
원해서,원하는
위험하다,위험한
위험해서,위험한
위험해질,위험한
이겨,이겨낸
이겨내자,이겨낸
이루어지는,이루어진
이뤄질,이루어진
일어나는,일어난
일어나지,일어난
있게,있는
있겠어,있는
있고,있는
있고요,있는
있기에,있는
있나,있는
있냐,있는
있냐고,있는
있네,있는
있네요,있는
있는,있는
있는가,있는
있는데,있는
있는데니,있는
있는데도,있는
있는데요,있는
있는인데,있는
있는지,있는
있는지는,있는
있는지도,있는
있는지를,있는
있니,있는
있다가,있던
있다고,있던
