N1,극성,내용
5,0,애가 다섯이야 백신맞고 일나면 누가 책임질껀데 책임져주지도않고 뻔히 백신때문인데 아니라고 인과성 인정도 안해주는거보고 맞겠냐?
1,0,난 백신에 목숨걸기 싫다    백신맞는다고 코로나 안걸리는것도 아냐 마스크벗을수 있는것도 아냐 근데 백신맞고 부작용 엄청나고 심지어 죽는다 어짜피 코로나는 청장년층은 걸려도 중증별로 없다 이런데 백신패스로 반강제적으로 백신강요한거 누가 결정했는지 정권바뀌면 반드시 처벌해야한다    
7,2,정부에서 강제하는 것도 문제지만  안맞은걸 비난하는 사회 분위기가 더 문제다  주변에서 강요해서 맞았든 어쨌든간에 결국에 맞기로한 최종선택은 본인들이 한거다  안맞아도 되는거 본인들이 선택해서 맞고선 억울하니까 왜 안맞은 사람들을 비난하는건지 모르겠다 
8,2,도대체 임창정이 뭐가 문제냐 애가 다섯인데  어찌될지 모르는 백신을 맏던 안맏던  개인의 선택이지 뭐가 그리 잘못이냐 민폐? 결혼식때 축가로 초청한 부부가 민폐면 모를까 마스크 다쓰고 노래불러주는데 민폐? 고마운거지 그걸 기사화해서 여론몰이를 해? 진짜 역겁다
9,2,목숨을 내놓고 맞을 정도면 백신에 문제 있는 거 아닌가? 안 맞은 사람 뭐라 하지 말자 백신 맞고 잘못되면 본인 탓인데  미접종을 왜 뭐라 하는지? 본인을 위해서 맞아야 하는 백신 아니냐?선택은 본인이 자율적으로 하도록 하는데 맞다고 본다  자율 이라면서 강제하지 말고  백신 맞아도 돌파감염 높다면서 왜 자꾸 강제 접종하려는지?
1,2,나도 접종은 하였지만 두아이의 아빠로써 정말 고민 많이 하고 접종 진행했습니다 코로나 걸리면 치료는 가능하지만 접종 부작용은 목숨이 왔다 갔다 하니까     접종 하지 않았다고 비난할건 아니라고 생각합니다 
2221-22-21,2,백신 강요 너무 웃겨요  영화관에서 주사 맞고 온 사람은 팝콘도 먹게 해준다는데 주사 맞으면 코로나 안 걸리나? 주사 맞으면 남한테 안 퍼뜨리나? 아니잖아  근데 왜그래 진짜 
2,0,나는 아이들 혼자 키우고 있어서 못 맞는다  백신 맞았다가 무슨 일 생기면 애들은 누가 책임지나  내가 무슨 일 있으면 폭력  여자  도박  술 모두 다 해서 겨우 이혼하고 헤어진 애들 아빠한테 애들 친권이 간다  백신의 안전성은 생각도 안 하고 무조건 목표치 채워가며 백신패스 불이익을 주는 게 더 불공평한 것 아닌가  백신 맞아도 감염되는 상황인데    독감 주사 안 맞았다고 뭐라하나    백신이 안전하고 맞아도 괜찮다면 누군들 안 맞고 싶겠나  목숨 걸고 맞아야되는 상황이 웃프다 
3,0,왜이리 편가르기를 하는지  백신없던 세상이 더 조용했던것같네요
4,2,백신은 선택이다 왜 안 맞았다고 뭐라 그러냐 그거 자체가 생각이 없는거 아니냐? 백신 안 맞았다가 책임 운운하는갓도 어이없네 백신맞은 인간들은 그럼 뭐      확진자가 아닌거야 맞았어도 걸릴수있고 안맞았어더 걸릴수 있는 상뢍이었다 그걸 가지고 무슨 백신접종 안 맞아서 그런거마냥 진짜 어이없네
5,2,백신이 선택이지 의무냐  
1,2,이런데도 백신이 강제가 아니냐  등에 칼대고 밀어 붙인는 것만이 강제일까  코로나 걸려도 죽을 수 있고 백신 잘 못 맞아도 죽을 수 있다는 건 인정해야지  그렇다면 어떤 위험을 선택할지의 문제인데 그 걸 정부가 강제할려는가  코로나 사망자 평균나이     세  임용준비 하시던   대 여성분의 기대 수명은   년 이상이었다  두아이 두고 사망한   대 가장의 심정을 생각해보라  이들의 희생이 공공의 이익을 위해 정당했다고 말 할 수있나  그둘이 자신의 가족이 아니었음을 안도하고 있는가 
7,0,창정이 형 백신 맞고 쓰러지면   원 한장 책임 안질것들이    
8,0,백신맞고 사망하면 누가책임지냐?정부쪼가리들 백신땜에사망하니 천만원줬다는데 이건 실제받은 금액  천만원에 목숨걸어야하나? 나도어제  차맞긴했지만 몸이엄청 안좋네  괜히 맞았다는 생각만든다  병원치료땜에 어쩔수없이 맞긴했지만 진짜후회중   
9,2,접종 강요하지 마세요  정말 접종은 선택 아닌가요? 필수 아닙니다  세상이 이상해요
31,0,왜 목숨까지 걸어야하나요? 죽은사람들 너무안타깝지않나요?뭘위해 희생하는건가요? 목숨을요  
2221-23-21,2,돌파감염 얘기하면 위중증으로 안가기위해 맞아야 한다면서무슨 개소리들을 저렇게 하지? 애들위해 백신접종해야한다고? 백신접종하고 사망한 사람들의 애는? 인과성따지며 백신이랑 상관없다는 정부의 말을 믿으라고? 백신접종하고 사망하면 누가 책임지는데? 돌파감염 없으면 임창정 욕하는게 당연한데 연일 돌파감염생기는 상황에서 저렇게 몰아가는게 몰상식한거 아니냐?
32,2,백신은 개인의 선택이니 잘잘못을 따질 필요가 있을까요? 사회생활을 하기위해 어쩔수없이 용기를 내서 접종하신분들도 있는거고 반면에 기저질환등이나 부작용 두려움에 못하는 사정이있는건데 비난대상이 되어야하나요?어떤배우분도 화이자 차까지 맞았는데 확진됫었다는 기사도 본거같고 주변에도 백신맞고 확진된사람 있다는 소리도 들었습니다  백신이 꼭 답인거처럼 비접종자를 비난하지 않았음 좋겠습니다
33,2,백신에 목숨걸어야할판인데 맞고안맞고는 개인자유다
34,0,효과도 없는 백신 맞고싶은 사람은 계속 맞아라  안맞는건 내자유니까 헛소리 말고  맞다 뒤지면 니가 책임지냐?책임도 안지면서 어디서 헛소리야    이상 맞고도 계속 더 나오면 그게 백신이냐 
35,0,애가 다섯이니까 안맞았겠지 죽으면 누가책임지려고?
31,0,백신을 맞아도 코로나에 감염되고 전파시킨다는 사실을 모르는 얼치기 삼룡이들은 제발 아가리 좀 닥치자  그리고 여기저기서 돌파감염이 있다는 사실도 숙지하자  현재 감염자의 상당수가 백신접종자며 이런 백신을  개월 마다 접종하라는 이 정신나간 분위기를 자각하라
37,0,목숨을 내놓고 백신을 맞을 필요가 있을까요?
38,2,정신나간여자네 목숨걸고 맞는걸 본인입으로도 주절거리면서 난 맞았는데 넌 뭔데 안맞냐는식으로 떠들고다니는지 당신이 강요해서 부작용생기면 책임져줄꺼야? 나라에서도 안하는걸 당연하다고 여기지마라 나도 맞았지만 강요하지않는다 현재상황에는 두려워서 못맞는것도 이해가능하다
39,2,백신 맞아서 안걸리면 모르겠는데  돌파감염 어쩌구 다 걸리는데 저걸 안맞았다고 뭐라할 이유가 어딨냐? 사람마다 체질이 다 다른거라 누군 몸에 맞겠고  누군 안맞을 수 있는데  지가 맞았다고 안맞는 사람들 뭐라 할 권리가 어디있냐?
41,2,목숨 내놓고 맞은게 자랑이냐??? 그럼 다른사람들도 목숨 내놓고 맞아야 하냐???? 자기 중증 안걸릴려고 자기 필요에 의해 맞아놓고        맞는 것도 자유     안 맞는 것도 자유다     어차피 맞아도 전염매개체야     그건 알고 있니???????
2221-24-21,2,백신 목숨걸고 맞은 것도 자랑인가 ?난 임창정에게 파이팅
42,2,백신 안 맞는 게 왜 논란 거리임? 개인의 선택인데  백신 맞는다고 해서 코로나 안 걸리는 것도 아냐  전파력이 낮아지는 것도 아냐  맞는다고 해서 적어도 몇 년 면역력이 생기는 걸로 기대할 수 있는 것도 아냐  단순히 중증으로 가는 것을  어느 정도  예방하는 것 외엔 기대할 수 있는 게 아닌데 안 맞는 게 남들에게 피해를 준다고 말할 수는 없는 거지 
43,2,아  진짜   백신맞은게 찬양받을일도 아니고 안맞은게 비난받을일도 아니다   다들 왜 백신 강요하고 난리야 쳐돌았냐??
44,2,백신은 자유선택   안맞았다고 비난은말자  단지 축가까지 부르러간다면 최소 코로나선제검사는 하고 갔음 최소한 이런 기사로 혼쭐나진않았을텐데  
45,2,백신을 안맞는건 자유인데 안맞았으면서 외부활동을 많이하는게 문제지여
41,2,진짜 직장에서 백신맞으라고 강요하는사람들 꼴불견임 
47,0,백신이 목숨까지 내놓고 맞을 접종이면 안맞는게 정상이지   안그래?
48,2,얼마전 백신맞고 죽은 고등학생  그리고 백신맞고 안타깝게 가신분들    나라에서 인정해주고있나?가장이 죽는경우도 있는데 무조건 맞아라? 제대로된 보상책 마련없이 무조건적으로 맞으라고? 에라이  인간들 진짜 개같네   
49,0,책임감??? 그러면 주사맞고 죽으면 너네가 책임지냐??
51,2,백신은 강제가 아니잖아  그리고 임창정은 아이가 명인데 나같아도 안맞을꺼같은데  
2221-25-21,0,백신이 맞는지   솔까의심스럽다  차까지 맞았는데  일동안 몸살에 머리아프고 혼줄났다 그건 감내한다치자  맞아도 걸리잖아  맞아도 중증가서 죽었잖아 백신이긴 하냐?
52,2,남을 위해 맞았다는 말은 함부로 하지 맙시다  대부분은 결국 자신을 위하거나 사회생활하는데 눈치보여서 아닌가요? 간혹 자기는 남을 위해 맞았는데 당신은 왜 안맞냐는 말 하는 사람들 보면 그 사람들이 진짜 이기적인 사람 같음  
53,2,백신맞아도 감염되고 전파된다  어디 무식하게 모르는 것들이 아는척 하고 앉았냐? 백신맞고 안맞고 자유지 맞은 너는 다른 사람 눈때문에 목숨걸고 맞았다고? 그럼 나라 위해 목숨 좀 걸어봐라  정권에 알랑대지 말고 
54,2,목숨내놓고 까지 맞아야 한다면 애가  섯인 가장은 못맞을수도 있지  왜 왈가왈부들인지   
55,2,백신은 선택입니다 마녀사냥 하지마세요 
51,2,백신맞는건 본인의자유  단  코로나 확진되지않게 철저히 행동해야한다는 책임이 따름 왜냐  나는 괜찮은데 남에게 피해 주면 안되지 않을까 
57,2,미접종이 왜 논란이냐?? 아직도 백신이 지켜줄거라 보는거냐?? 맞고 안맞고는 개인의 자유다 선넘지마라
58,2,백신 맞아도 걸린다고 전문가님들이 그랬다  그리고 전파력도 안맞은 사람못지 않다 했다  백신을 맞는 이유는 중증으로가지 않기 위함이라 했다  이 말인즉슨 맞아도 퍼트리고 걸린다  하지만 맞으면 중증이상 가지않으니맞아라    이건데    안맞아서 퍼트리는게 아니다  정부도 백신이 만능인것처럼 백신패스 어쩌고 해서 갈라놓지마라  맞은 사람들도 똑같이 조심해야한다는 걸 더잘알지 않나  안맞은 사람 죄인 취급하지 마시길   백신 맞았다고 내 자녀들에게 안전한거 아니다  나만 덜 아픈거다 
59,0,가장 멍청한것들이 백신 맞음 코로나 안걸린다고 믿는것들임
11,0,저도 모더나  차 맞고 죽다살았어요  이런댓글 잘 안남기지만 저도 쌍둥이 엄마인데요 다시 시간을 되돌린다면 안맞고 집에만 있으렵니다  
2221-21-21,2, 슈퍼주니어  신동  코로나 확진 자가 격리 중    얀센 맞은 신동도 돌파감염이라잖아    백신을 맞아도 걸리고  안맞아도 걸리고    우짜라고??? 그냥 개인의 자유에 맞기자고요   기저질환자들은 부작용으로 여기저기 터지는데 맞을 용기가 안나죠    그리고 안맞은 사람들이 항체가 없어서 더 위험하다는걸 알고 더 열심히 개인방역에 신경 쓴다고요   
12,0,백신 임상실험이라고 나왓습니다 괜히 맞앗다가 사망합니다 보상도 한푼도 없습니다 지금 수없이 많은사람들이 백신 맞고 죽어가고 있습니다 코로나 걸리는분 보다 백신맞은분들요 아무 효과도 없데요 기사 나왔습니다 
13,2,백신은 선택이다  의무가 아니지   안맞았다고 비난하는 놈은 대가리에 코로나 걸린 거지   맞고 싶어 맞는 사람이 몇이나 되겠나만은 주위 민폐라   직장에서 압박하는 분위기라   등등 어쩔수 없든 자발적이든 맞은 사람은 맞은 거고 안맞은 사람은 그냥 그런거지   맞고 걸리면 민폐 안되고 안맞고 걸리면 민폐인가? 어차피 같은거고 방역수칙 잘 지켜도 걸릴수도 있는 거고   전염병이 그딴식이지   그게 착한 사람 안걸리는 병도 아니고   쓸데 없는 걸로 사람 욕하지 말아라  
14,0,저도 안 맞고 싶은데요  임창정씨 충분히 이해함
15,2,아니  왜 이런 식으로 백신을 맞는 것으로 압박을 넣지? 백신 접종은 개개인의 선택이어야 하는데 코로나가 무서워서가 아니라 자유를 얻기 위해 백신을 맞아야 하는 분위기네  코로나는 사기다  당신 주변에 코로나로 죽은이가 있나 살펴봐라  순수 코로나가 원인으로 죽은 이는 고작   명 뿐이다 질청 통계  대다수는 기저질환자다  본래 감기  독감으로 연간    천명이 매년 사망한다는 사실    코로나는 그저 감기일 뿐이다   코로나 미스터리  책 강추   현업 의사가 쓰고 서울의과대학 교수들이 추천한 책   
11,2,언론몰이로 백신접종 유도하지 마라 나도 일때문에 할수 없이 접종했지만접종은 개인 선택이다 
17,2,백신 안맞겠다는건 자유임  방역수칙을 잘지키고 사람접촉도 별로 없고 그래서 충분하다 여겨지면 안맞아도됨하지만 접촉을 많이 하는 연예인이 백신미접종은  이기주의지
18,0,어차피 물백신이야  접종완료자가   프로     프로 육박이야  근데 확진자와 중증자가 열배로 늘었다  이게 뭔 소린줄이나 아냐?? 접종 차완료자   프로 전염됐고   차 접종자까지하면   프로 내외로 전염됐다  접종완료자들이 전염을 퍼트리는건 아니지만   접종했다고 난 안걸릴꺼야 하는 개인방역이 풀어져서 더 퍼지는거야  맞든 안맞든 그게 중요한게 아니다  개인방역을 여전히 잘 지키고 있느냐가 관건이지  백신을 맞았다 안맞았다가 중요한게 아니다 
19,2,나라에서 백신강요한다고 뭐라고 난리치고    안맞으면 안처맞았다고 난리치고   맞았다 뒈지면 의학적으로 실보다 득이많다 맞는게 좋다 이말은 만병통치 처방말임    어쩌라고   나도 얀센맞고 모더나 부스터 다맞았는데  아내보고 맞으라곤 못하겠다    백신의 부작용이라기보단 그 면역반응이 생각보다 좀 힘들어서  몸이좀 약한편인 아내가 맞는다고 해도 말리고싶은 심정이다     백신이 개인선택이지 강요할일은 아니라고 생각한다  안맞으면 당장다 죽어나가는 수준도 아니고  개인이 선택하고 스스로가 조심하고 기본적인 방역을 지키는게 중요하지 
71,0,코로나 걸린 사람 벌레보듯하지마라  코로나 걸리는 것이 백신 맞고 뒈지는 것보다 낫다 
2221-27-21,2,코로나백신 접종해도 감염되고 전파시키는게 똑같다  예방이 안된다는것  오직 중증완화효과만있는것이니까 오직 본인만을 위함이다  남을 위해서? 사회를 위해서 ? 맞는게 아니다  내년 코로나종식 앞두고 접종미접종 거론은 이제 의미가 없다  코로나변이로 감기정도치사율낮아짐  내년코로나종식 이제 접종미접종 의미없는 왈가왈부는 그만 
72,2,부작용있더라도 바이러스 절대 안걸리고 마스크 벗고 다닐수있다면 반드시 맞아야함 헌데 지금상황은 어떻냐 맞는다고 바이러스 걸리지않은것도 아니고 사람마다 다르지만 부작용까지있고 독감 예방접종도 강요안하는데 왜 백신만 강요하는지 이해가 안가네 여기가 북한처럼 공산주의국가면 이해하겠는데 여기는 민주주의국가다 누구에게나 선택할 권리가있고 거부할 권리가 있다 그게아니면 공산주의국가지
73,2,백신접종은 개인의 선택에 맡기는 게 옳지  당장에 본인이 인터넷에 쓰는 글처럼 지인에게 강요해봐  강요할 수 있나? 못하겠지  부작용이라도나면 죄책감들거니까  각자의 건강과 목숨이 달린일이다  남이 왈가왈부할 게 아니란 말임  접종했다고 다 끝난 거 아니니까 마스크나 잘 하고 다니시길 
74,1,목숨 내 놓고 왜 맞니? 목숨을 구할려고 맞아야지  백신에 불신이 가득 있구나 
75,1,얘들 생각해서 맞아야되는거 아니가?이말 할 인간은 얘가 읍나?   돌아가신분들중에 가정 없는집이 있었어?
71,2,백신을 맞던 안맞던 그건 개인의 자유입니다 기자는 왜 그걸 잘못됐다고 기사를 내는지 웃기네요기자로서 자격이 없는 분이시군요절대 강제성이 되어선 안됩니다
77,0,임창정이 백신안맞은게 왜 논란이되는거지???애 다섯에 지극히 정상적인 선택인데
78,2,이게 논란거리야?  차까지 접종완료했지만 미접종자욕안한다 여기 민주주의국가야 선택은 각자하는거고 결과도본인이받아드리면되는거아닌가 자꾸공산국가로 물타기하네
79,2,백신접종은 자유아니었나? 맞기싫음 안맞는거지 그게 뭐그리큰일이라고 계속 기사나오네 당신들도맞기싫음 마지마세요
81,0,자유입니다  차화이자이후 생리도 끊어지고  차후 구내염이 입안가득 승모 요통 근육통에 미각상실 살이  키로빠졌음 부스터샷 죽어도 안할거임
2221-28-21,2,자기가 목숨 내놨다고 다른 사람도 목숨 내놓으라는 건 무슨 이기적인 생각이야? 백신 맞고 싶어서 맞은 건 당신 선택이야 안 맞은 사람 탓하지 마  그리고 백신 안 맞은 사람들이 오히려 방역 수칙 더 잘 지키면서 살아 
82,2,논란이 왜되나? 본인이 맞기싫어서 안맞는데 참말로 웃긴다 본인생각이그러면 안맞을수도있지 여기가 공산국가여머여
83,2,백신은 강요가 아니라 개인의 자유다 이놈들아  백신을 맞았어도 코로나 확진자가 백신접종 완료의 절반인데 그냥 방역만 잘 지키면 되잖아  이건 임창정 욕하면 안되지  축가 부를때도 마스크 쓰고 했다는데 오히려 다행이지  니들일이나 잘해라 욕하는것들아
84,2,본인도 맞기 싫었는데 맞았다면서 남도 맞으라는 법 있나요? 백신이 아니라 다른게 됐어도 남탓할 인간들   자기몸 자기가 책임지는 겁니다 백신 강요하지마세요
85,0,나도 미접종자인데 부작용 생겨도 보상안해주는 백신을 왜 맞아야되나  이참에 임창정도 무작정 사과하지말고 접종은 개인의 자유라고 말해주길 바란다 
81,0,순수코로나사망자 오늘자    명 백신사망자     명대 백신부작용 후유증 몇만명 인과성인정 거의안해줌   이런기사는 안내보내고 무조건 맞으라고한다  이젠 안속을때도되지않았나 세뇌에서 제발 풀려나기를바랍니다   맞아도걸리고 안맞아도걸리는데 격리되서들어가도 치료제도없고 갇혀있다나오는것뿐   나도 안맞았고 앞으로도 맞을생각도없다 
87,2,맞고 안맞고는 본인의 자유다 그러나 안맞고 걸리면 본이이 치료비와 파생비용을 부담시켜야한다
88,0,나는 백신 차 접종 후회한다 접종후 두통이 있었고  일만에 뇌경색 왔었다 퇴원후 약복용중 부작용으로 급성출혈성 위궤양으로   일간 병원에서 고생했다 백신접종 선택은 임창정이 한거고 접종자나 미접종자나 코로나확진은 무슨차이가 있노 같은 확진자고 주변전파 시키는것도 같은거고 사망자는 이레저레 더 발생되고   
89,2,도대체 백신을 목숨을 걸고 맞는다는 논리는어다서 나오는건가요? 개인의 자유입니다  하지만 맞았다고 해서 잔  르크 인가요? 누구를 위해 희생한건가요?   날 포기하고 남을 위해 모두를 위해 맞는것도 아니고 안맞았다고 비난받을일도 아닙니다 이거는 참 별 가십거리도 아닌걸로 우습게 의견 갈라놓는거 같네요
91,0,접종에 목숨을 걸 가치가 있나?
2221-29-21,2,백신 맞고 안맞고는 개인에 선택인데 팬들한텐 백신패스로 강요해놓고 본인이 안맞은게 문제지  본인이 안맞을거였음 백신패스 하질 말았어야지
92,2,신동도 부터터샷 앞두고 확진 되었는데 주사 안 맞았다고 비난 받을일은 아니라고 봄  주사 안 맞으면 목욕탕도 못오게하고    넘으신분이 굳이 목숨걸고 주사 맞아야하나???목깡 가셨다가 주사안맞았다고 돌려 보내는  어이 없어요   
93,2,백신접종 여부는 개인의 자유다
94,2,목숨을 내놓고 백신을맞든 안내놓고 안맞든 본인 자유지   누가 목숨내곻고 맞으라했나   난백신맞았지만 본인의사에따른거지 왜 반강요를하지???
95,2,애가 다섯인데 그 아빠 마음은 모를수도 걱정이 많이 됫을수도 잇지   난  차맞고 몸이 안좋아져서 이차안맞을까햇지만 걸국 맞앗고 내주위에 백신 맞을까 말까 걱정하는 사람한테 절대 맞으라 마라 얘기 안햇음 강예빈씨가 얘기한것처럼 목숨내놓고 맞는거니까 자기선텍임
91,2,백신맞든안맞든 자기자유다
97,2,맞고 말고가 언제부터 강제였나?? 개인의 선택으로 남겨놓고서 안맞았다 토끼몰이 하듯 욕하는건 아니지 않나?? 다들 남 위해서 맞았나? 본인 위해 맞았지    그래놓고 본인이 이타적이어서 남 위해 맞은 것 처럼 논리 펼치는게 우스운 일 아닌가
98,2,독감예방주사 맞아도 독감걸린다  난 기저질환있는 고위험군이라 목숨걸고 정말 싫은데 맞았지만 부작용 때문에 죽을뻔했다  임상실험 당하는 기분이었다  백신접종 선택은 개인의 자유다  더군다나 코로나사망보다 백신접종부작용 사망이 더 많다 피할수 있고 안맞을수 있다면 난 정말 권하고 싶지 않다 
99,2,개인의 선택이다  생떼같은 아들  명 있는데  아무도 장담 못하는 백신 맞기싫을거 같다  단  거기에 따른 본인의 주의는 당연하고
11,0,오늘 직장에서 왜 안맞냐고 여러명이서 공격하는데 진짜    맞아야하나 싶었음   그치만 원래 지혈이 잘안되고 혈관도 약해서 손가락같은데 어디부딪히면 잘 터지고 멍도 잘드는데   두통도 자주있고   여기저기 잔병이 많은 저로써는 혹시 재수없게 내가 부작용으로 잘못되는  인이될까봐 못맞겠다  혼자라면 에라모르겠다 맞을수도있지만 애 둘 생각하면 도저히 못맞겠음   강요제발하지맙시다 당신이맞았다고 안맞은사람비난하는건 너무   
10,2,이런기사왜나오는거야 백신맞아도걸리는데 맞던안맞던 그거 기삿가리인가   본인의자유지 백신맞고 죽음 기자님이책임질거예요?누구도 책임지지않으면서 배나라 감나라 왜난리들이야 
12,2,변종에 돌파감염에 정말 지긋지긋  백신 맞고 나아진게 뭐있나? 나도 맞았지만 정말 강요는 말자 
13,2,백신을 쳐 맞든 안맞든 개인자유다  코로나에 쳐걸린이들은 걸리고 싶어서 걸리냐?세상이 갈수록 개차반이 되가누만
14,0,백신 미접종이 죄인냥 기살 쓰냐? 왜 독감 백신 안 맞아서 독감 걸렸다고 기사도 써보지?
15,0,신동은 얀센 맞고도 코로나 확진됐다던데  그리고 백신 부작용이 치명적인데 안 맞을 자유도 없냐고요  왜 자꾸 기사올리냐 기레기야
11,0,미접종이 왜 논란? 미접종이 대체 무슨 피해를 줌? 오히려 백신 맞은 사람들이 큰일 나겠던데? 시간 차이만 있을 뿐 면역체계 붕괴되어 산송장 되게 생겼더만     
17,0,접종안한게어때서? 남목숨을 왜 지들이 이래라저래라 오지랖? 미접종욕하는 대깨문들아  그럼 맞고죽었을때 사망비 보상해준다고 서약해 그럼 백신맞아줄게 
18,0,솔직히 안맞는게 현명한거 같은게 러시안룰렛도 아니고 맞고 살면 다행 죽으면  만원  그리고 맞아도 돌파감염 걸리고 이런데 맞으라는게 더 웃기는일 아닌가?
19,0,미접종을 문제시 하면 안 됨  오히려 접종해놓고 마구 돌아다니는 게 더 문제  사람이 자기가 혹시 접종하면 죽을 것 같은 느낌에 안 맞을 권리가 있는 것이지  왜  넌 죽을 것 같을수록 더 맞아라  이렇게 고집부리고 남에게 강요하는 것이 사탄마귀 이외에 달리 있겠니? 아무도 남에게 나 대신 접종하라 한 적 없음  다른 사람들은 바보라 맞았냐고 말하지 마라  너한테 접종하라 한 타인은 없다 
1,2,백신을 맞고 안맞고는 개인의 선택이지 뭐이런 기사가 다있어
0,0,애들생각해서 못맞아요   
2,0,목숨 내놓고 맞는게 미련한거 아니노
3,0,백신안맞았다고 이난리를 칠 이유가 있나? 백신안맞은사람만 걸리는것도 아니고 백신맞는다고 안걸리는것도 아니고 백신부작용으로 고셍해도 아무도 책임을 지지않는데   개인방역을 안했거나 정부지침을 안따랐다면 이해한다 근데 멀잘못했냐?? 참고로 이분을 좋아하진 않음  
4,0,목숨을 걸어야할 정도의 백신이면 안 맞아야지  그래서 맞는 강 씨가 이상  백신접종은 개인자유다  백신맞아 죽는 사람이 더 많은데 무슨 헛소리  죽을거 알면서 백신맞는 인간들       이지
5,0,애가 명이니 신뢰없는백신을 안맞지 맞고죽으면 애들은 뭔죄냐
1,2,백신을 맞던말던 그게 뭐가 중요한지 모르겠네 백신맞으면 안걸려? 백신맞고 열심히 밤늦게까지 놀고있는 당신들이 더 위험해
7,2,차별정책이나 차별대우가 정당하기 위해서는 차별의 근거가 명확해야 한다 백신을 맞아도 괜찮은 경우와 안되는 경우를 명확 정확하게 가려낼 방법이 없다면 접종을 강요 해서도 안되고 미접종을 죄악시 하며 차별하는 분위기를 조장해서도 안된다 백신 접종한 것 자체는 대단한게 맞지만 미접종이 무지 미개하단 착각은 위험 그리고 미접종자도 세금 건보료 다 낸다 위험시설 출입제한   위한 미감염 증명비용 자가부담 정책 정도는 합리적 차별로 볼 수 있으나그외의 차별과 비난은 위험한 발상 
8,0,코로나 사망자 평균나이     세  한국인 기대수명   세  그 나이쯤 되면 한두가지 기저질환 없으신 분들이 없지  질병청에 정보공개 요구하니 순수 코로나로 인한 사망자는 단   명  그에 반해  백신 접종후 사망자     명  기억나는 분으로는   대 임용준비하시던 여성분  이분의 기대수명은   년  두아이   대 가장은 회사의 강요로 가족을 위해 목숨을 걸었지  공공의 이익을 위해 백신을 접종한 사람이 과연 얼마나 될까  중증진행 완화를 목적으로 접종했다면 그건 오로지 개인의 이익을 위한게 아닌가  백신패스라는 보상이 합당한가?
9,0,맞아서 안걸린다는 보장도 없고 애도 많은데 잘못되면 누가 책임을 질건지  
21,1,사람들이 착각하는게 있는데   백신을 맞는게 코로나를 안 걸리게 하려는게 아니고  나중에 중증환자가 안 되려고 맞는건데   독감백신 맞아도 독감에 걸리듯   
